,HomeCountry,PresentCountry,Age,Words,Filename,Date,Time,Sex,ID,duration
45,Tobago,Tobago,,She only paints with bold colors; she does not like pastels.,b6680a539165084,0.983090278,17:06:00,,,29.09866667
46,Tobago,Tobago,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; to have lived and died as one had been born~ unnecessary and unaccommodated.,78765c867b042b7F,0.150451389,23:11:57,F,759793,0
47,Tobago,Trinidad,,If you notice this notice~ you will notice that this notice is not worth noticing.,b659953c7b206c8F,0.275451389,1:32:55,F,815801,28.416
48,Dominica,Trinidad,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,45a336198508869F,0.567118056,16:07,F,813503,0
49,Dominica,Trinidad,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,a78c83465785205F,0.567118056,16:16,F,960853,0
50,St. Lucia,Trinidad,22,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,7a43b5320243557F,0.567118056,16:45,F,343732,26.112
51,St. Lucia,Trinidad,24,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,9310c75ab1c433F,0.608784722,3:41,F,573905,25.94133333
52,Bahamas,Trinidad,23,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,856a704316139F,0.983784722,17:51,F,844315,0
53,Bahamas,Trinidad,20,If you want to reach to Port of Spain~ go on a maxi and dont come off until the last stopping point~it will carry you to City gate.,23b254860980cb9F,0.983784722,17:51,F,742826,0
54,Trinidad,Trinidad,20,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,821795218845b15F,0.983784722,17:54,F,657900,0
55,Trinidad,Trinidad,21,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,3818540c7251872F,0.983784722,17:55,F,489649,0
56,Barbados,Trinidad,20,Granted: I am an inmate of a mental hospital; my keeper is watching me~ he never lets me out of his sight; there’s a peephole in the door~ and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.,a637cc962460b84F,0.983784722,17:57,F,871503,0
57,Anguilla,Anguilla,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,7955913763708c4F,0.983784722,17:59,F,267740,0
58,Trinidad,Trinidad,,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,2086839a970b41cF,0.983784722,18:06,F,733307,0
59,Grenada,Trinidad,,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,625ac6c86b5ccc6F,0.983784722,18:09,F,605604,0
60,Barbados,Trinidad,19,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,240bcba67c36a08F,0.983784722,18:09,F,916956,25.00266667
61,Guyana,Trinidad,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,078919c429072a8F,0.983784722,18:11,F,469629,0
62,Jamaica,Trinidad,19,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,4162b487631977bF,0.983784722,18:18,F,852355,0
63,Barbados,Trinidad,20,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,b9400a31ab6961F,0.983784722,18:42,F,124164,28.50133333
64,Barbados,Trinidad,18,Granted: I am an inmate of a mental hospital; my keeper is watching me~ he never lets me out of his sight; there’s a peephole in the door~ and my keeper’s eye is the shade of brown that can never see through a blue-eyed type like me.,63cc1861c27a10aF,0.983784722,18:59,F,973585,26.79466667
65,St. Vincent and the Grenadines,Trinidad,26,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,1a76c6060c6c407F,0.983784722,18:59,F,777379,0
66,St. Vincent and the Grenadines,Trinidad,,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,62c4414b6234043F,0.983784722,20:20,F,845888,0
67,St. Vincent and the Grenadines,Trinidad,24,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,97a5b466962914F,0.983784722,20:26,F,318933,0
68,Jamaica,Trinidad,21,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,93a0c4c7ba85a45F,0.983784722,23:55,F,951005,0
69,Grenada,Trinidad,,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,681a082a2a582aaF,24:03:2019,0:44,F,850563,0
70,Tobago,Trinidad,,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,33c346ab0929b06F,25:03:2019,0:38,F,76901,27.22133333
71,Tobago,Trinidad,19,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,20533820a9c18b8F,25:03:2019,1:38,F,655199,25.42933333
72,Jamaica,Jamaica,69,,jamaican_creole_english1, , ,M,1,0
73,Jamaica,Jamaica,21,,jamaican_creole_english2, , ,M,2,0
74,Jamaica,Jamaica,19,,jamaican_creole_english3, , ,F,3,0
75,Jamaica,Jamaica,37,,jamaican_creole_english4, , ,M,4,0
76,Tobago,Trinidad,24,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,a676022a49b2944F,31:03:2019,21:24,F,536318,24.49066667
77,St. Kitts & Nevis,Trinidad,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,7b4c7766083ab5M,31:03:2019,21:29,M,757119,0
78,Tobago,Trinidad,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,070ac184c1279abM,31:03:2019,21:32,M,90218,0
79,Barbados,Trinidad,20,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,76191c1a0048878F,31:03:2019,21:36,F,420663,30.63466667
80,Trinidad,Trinidad,,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,8a45b9397156837M,31:03:2019,21:39,M,241301,0
81,Antigua & Barbuda,Trinidad,,If you want to reach to Port of Spain~ go on a maxi and dont come off until the last stopping point~it will carry you to City gate.,ab369361719666aM,31:03:2019,21:44,M,31753,0
82,Trinidad,Trinidad,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,ac473806627005M,31:03:2019,21:48,M,576983,0
83,Grenada,Trinidad,,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,11ab1b57a86a0837M,31:03:2019,21:50,M,920054,0
84,Grenada,Trinidad,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,c1943a6342c135M,31:03:2019,21:50,M,725527,0
85,St. Vincent and the Grenadines,Trinidad,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,17b7c75b28b44a4F,31:03:2019,21:53,F,672108,0
86,St. Lucia,Trinidad,,If you want to reach to Port of Spain~ go on a maxi and dont come off until the last stopping point~it will carry you to City gate.,b98c544cc8956M,31:03:2019,21:55,M,101438,25.51466667
87,Guyana,Barbados,21,If you want to reach to Port of Spain~ go on a maxi and dont come off until the last stopping point~it will carry you to City gate.,cb1a45043423a99F,31:03:2019,22:04,F,221267,0
88,Barbados,Trinidad,20,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,6a9aa9819131694F,31:03:2019,22:04,F,909133,24.91733333
89,Tobago,Trinidad,,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,a69999701130b08M,31:03:2019,22:08,M,206323,29.01333333
90,Trinidad,Trinidad,,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,781bb3b06897c94F,31:03:2019,22:12,F,678241,0
91,Guyana,Trinidad,,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,1b560b9b6684381F,31:03:2019,22:15,F,193970,0
92,Guyana,Trinidad,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,a796b3390630633F,31:03:2019,22:16,F,786547,0
93,Antigua & Barbuda,Trinidad,,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,71c80593c6322aM,31:03:2019,22:18,M,251095,0
94,Barbados,Trinidad,,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,c060314a3936b8M,31:03:2019,22:20,M,96264,31.85777778
95,Trinidad,Trinidad,21,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,0772a47420a05558M,31:03:2019,22:22,M,437252,0
96,Trinidad,Trinidad,,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,ac71c663652185F,31:03:2019,22:25,F,941173,0
97,Trinidad,Trinidad,21,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,838663cab71c207M,0.0678125,20:40,M,630359,37.376
98,Trinidad,Trinidad,21,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,5803c5444c41686M,0.0678125,20:43,M,183524,0
99,Tobago,Trinidad,,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,328257206217b16F,0.0678125,21:40,F,724485,0
100,Bahamas,Trinidad,24,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,56a3c80b0749c43F,0.0678125,22:07,F,281173,0
101,Tobago,Tobago,,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,26a13805a514044F,0.109479167,0:54,F,244403,0
102,Trinidad,Trinidad,22,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,87192b921c8ab57F,0.109479167,3:51,F,165963,0
103,Antigua & Barbuda,Antigua & Barbuda,,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,c14572bc9209b47F,0.151145833,3:52,F,642705,0
104,Bahamas,Barbados,40,If you want to reach to Port of Spain~ go on a maxi and dont come off until the last stopping point~it will carry you to City gate.,7604c275309cb4a3F,0.359479167,13:44,F,534814,0
105,Bahamas,Barbados,20,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,626450341a28653F,0.359479167,14:05,F,962461,0
106,Bahamas,Barbados,,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,197543817448ca4F,0.359479167,14:12,F,278815,0
107,Bahamas,Barbados,21,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,99984700b08b47F,0.359479167,14:21,F,420583,0
108,Bahamas,Barbados,18,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,418745cb5885962F,0.359479167,14:37,F,958690,0
109,Bahamas,Barbados,18,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,64a63178b1211a3F,0.359479167,14:48,F,766007,0
110,Barbados,Tobago,40+,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,7a50545b65847c3F,0.359479167,19:01,F,935716,24.32
111,Tobago,Tobago,,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,5b2279115670912F,0.359479167,19:35,F,869974,27.392
112,Tobago,Tobago,,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,b60036009715988M,0.359479167,19:53,M,423995,27.05066667
113,Tobago,Tobago,23,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,010bb6bc0376a079F,0.401145833,19:08,F,778055,24.66133333
114,Jamaica,Jamaica,21,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,62cc557a16b51a2M,0.401145833,19:14,M,433049,0
115,Barbados,Barbados,,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,c7961b9930a22a9F,0.401145833,19:27,F,94612,24.52027211
116,Barbados,Barbados,37,If you want to reach to Port of Spain~ go on a maxi and dont come off until the last stopping point~it will carry you to City gate.,007c0b8b330305628F,0.401145833,20:53,F,81454,0
117,Trinidad,Trinidad,29,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,86512c6b0635ab5F,0.401145833,22:03,F,279003,38.4
118,Trinidad,Trinidad,20,In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. Whenever you feel like criticizing anyone~ he told me~ just remember that all the people in this world haven't had the advantages that you've had.,572a88b8816c744M,0.401145833,22:28,M,759367,0
119,Grenada,Grenada,26,Sometimes fate is like a small sandstorm that keeps changing directions. You change direction but the sandstorm chases you. You turn again~ but the storm adjusts. Over and over you play this out~ like some ominous dance with death just before dawn. Why? Because this storm isn’t something that blew in from far away~ something that has nothing to do with you. This storm is you. Something inside of you. ,1cb0069cbb24b23F,0.401145833,23:32,F,720941,0
120,St. Lucia,St. Lucia,33,Have you ever been bitten by an elephant? How about a mosquito?. It is the little things in life that will bite you. Occasionally~ we see big mistakes threaten to destroy a career or reputation in an instant.,b8b88841b7a647F,0.401145833,23:51,F,896328,31.488
121,Grenada,Grenada,26,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,2501b7422a052b6M,0.401145833,23:52,M,42518,0
122,Grenada,Grenada,26,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,a5c873686a8639M,0.4428125,0:00,M,700780,0
123,Antigua & Barbuda,Grenada,,I am an invisible man. No~ I am not a spook like those who haunted Edgar  Allan Poe; nor am I one of your Hollywood-movie ectoplasms. I am a man  of substance~ of flesh and bone~ fiber and liquids—and I might even be  said to possess a mind. I am invisible~ understand~ simply because  people refuse to see me. ,82095028082186F,0.4428125,1:42,F,260669,0
124,Tobago,Trinidad,25,But bigger than them all was the house~ his house.How terrible it would have been~ at this time~ to be without it: to have lived and died among the Tulsis~ amid the squalor of that large~ disintegrating and indifferent family; to have left Shama and the children among them~ in one room; worse~ to have lived without even attempting to lay claim to one’s portion of the earth; ,07c75a999527b07aM,0.4428125,2:45,M,881399,26.02666667
125,Grenada,Grenada,,There is an idea of a Patrick Bateman~ some kind of abstraction~ but there is no real me~ only an entity~ something illusory~ and though I can hide my cold gaze and you can shake my hand and feel flesh gripping yours and maybe you can even sense our lifestyles are probably comparable: I simply am not there.,20971c090851bcaF,0.4428125,9:50,F,415734,0
126,St. Lucia,St. Lucia,,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,625b192a49b416M,0.4428125,10:08,M,266478,29.35466667
127,Grenada,Grenada,24,I don't know what effect my accusers have had on you~ men of Athens~ but I can tell you they almost made even me forget where I was~ so convincingly did they speak.But when it comes to the truth~ they've said virtually northing.,802499204007bbF,0.4428125,11:49,F,256108,0
